iter	Passed	Remaining
0	1	111
1	1	96
2	2	91
3	3	84
4	4	83
5	5	81
6	6	79
7	6	77
8	7	76
9	8	74
10	9	73
11	9	73
12	10	71
13	11	70
14	12	69
15	12	68
16	13	67
17	14	66
18	15	65
19	16	65
20	17	64
21	17	63
22	18	62
23	19	61
24	20	61
25	21	60
26	21	59
27	22	58
28	23	57
29	24	56
30	24	55
31	25	54
32	26	53
33	27	52
34	27	51
35	28	51
36	29	50
37	30	49
38	31	49
39	32	48
40	32	47
41	33	46
42	33	45
43	34	44
44	35	43
45	35	42
46	36	41
47	37	40
48	38	39
49	38	38
50	39	37
51	40	37
52	40	36
53	41	35
54	42	34
55	43	33
56	43	33
57	44	32
58	45	31
59	46	30
60	46	29
61	47	29
62	48	28
63	49	27
64	49	26
65	50	26
66	51	25
67	52	24
68	53	23
69	53	23
70	54	22
71	55	21
72	56	20
73	56	19
74	57	19
75	58	18
76	59	17
77	60	16
78	60	16
79	61	15
80	62	14
81	63	13
82	63	13
83	64	12
84	65	11
85	66	10
86	67	10
87	68	9
88	69	8
89	70	7
90	70	7
91	71	6
92	72	5
93	73	4
94	74	3
95	74	3
96	75	2
97	76	1
98	77	0
99	78	0
