iter	Passed	Remaining
0	123	123079
1	124	62276
2	126	41966
3	128	31879
4	129	25778
5	131	21720
6	132	18812
7	134	16657
8	135	14953
9	137	13614
10	138	12488
11	140	11551
12	141	10775
13	143	10088
14	144	9499
15	146	8983
16	147	8527
17	148	8121
18	150	7767
19	151	7444
20	153	7155
21	156	6947
22	157	6705
23	159	6477
24	161	6283
25	163	6115
26	164	5928
27	165	5761
28	167	5608
29	169	5487
30	171	5355
31	172	5228
32	174	5110
33	176	5021
34	178	4922
35	179	4819
36	181	4721
37	182	4630
38	184	4544
39	185	4457
40	187	4387
41	189	4314
42	190	4244
43	192	4175
44	193	4108
45	194	4042
46	196	3979
47	197	3917
48	199	3863
49	200	3808
50	201	3757
51	203	3706
52	204	3657
53	206	3611
54	207	3564
55	208	3520
56	210	3476
57	211	3434
58	213	3398
59	214	3359
60	215	3319
61	216	3281
62	218	3246
63	219	3214
64	221	3187
65	222	3154
66	224	3124
67	225	3092
68	226	3062
69	228	3034
70	229	3007
71	231	2981
72	232	2956
73	234	2928
74	235	2900
75	236	2876
76	237	2850
77	239	2826
78	240	2802
79	241	2778
80	243	2758
81	244	2736
82	245	2708
83	246	2690
84	248	2672
85	249	2653
86	251	2635
87	252	2617
88	253	2597
89	255	2580
90	256	2562
91	258	2546
92	259	2531
93	260	2514
94	262	2498
95	263	2481
96	265	2467
97	266	2453
98	268	2440
99	269	2426
100	270	2411
101	272	2398
102	273	2385
103	275	2370
104	276	2357
105	277	2343
106	279	2331
107	280	2318
108	281	2304
109	283	2293
110	284	2279
111	286	2268
112	287	2257
113	289	2246
114	290	2235
115	291	2224
116	292	2210
117	294	2199
118	295	2188
119	296	2177
120	298	2167
121	299	2154
122	300	2144
123	302	2136
124	304	2128
125	305	2119
126	306	2107
127	308	2098
128	309	2089
129	311	2081
130	312	2072
131	313	2063
132	315	2054
133	316	2045
134	318	2038
135	319	2029
136	320	2020
137	322	2012
138	323	2004
139	324	1995
140	326	1988
141	327	1978
142	328	1970
143	330	1962
144	331	1954
145	333	1947
146	334	1941
147	335	1934
148	337	1925
149	338	1918
150	340	1911
151	341	1905
152	343	1899
153	344	1891
154	345	1885
155	347	1879
156	348	1873
157	350	1867
158	351	1860
159	353	1853
160	353	1844
161	355	1839
162	357	1834
163	358	1829
164	360	1824
165	362	1818
166	363	1814
167	365	1809
168	366	1803
169	368	1797
170	369	1791
171	371	1786
172	372	1780
173	373	1775
174	375	1770
175	376	1764
176	378	1760
177	379	1754
178	381	1751
179	383	1745
180	384	1740
181	385	1734
182	387	1728
183	388	1723
184	390	1718
185	391	1712
186	393	1710
187	394	1705
188	396	1700
189	397	1695
190	399	1691
191	400	1687
192	402	1682
193	403	1677
194	405	1673
195	407	1669
196	408	1667
197	410	1663
198	412	1660
199	413	1655
200	415	1651
201	416	1646
202	418	1642
203	419	1637
204	421	1634
205	423	1630
206	424	1626
207	426	1622
208	427	1618
209	429	1613
210	430	1611
211	432	1607
212	434	1605
213	436	1601
214	437	1598
215	439	1595
216	441	1591
217	442	1587
218	444	1586
219	447	1586
220	449	1584
221	451	1581
222	453	1579
223	456	1580
224	457	1576
225	459	1573
226	460	1569
227	462	1565
228	463	1561
229	466	1560
230	468	1560
231	470	1558
232	472	1554
233	474	1552
234	476	1549
235	477	1545
236	478	1541
237	480	1538
238	481	1534
239	483	1530
240	484	1527
241	486	1524
242	488	1521
243	489	1517
244	491	1514
245	492	1511
246	494	1507
247	496	1504
248	499	1505
249	501	1505
250	503	1503
251	506	1502
252	507	1498
253	509	1495
254	510	1491
255	511	1487
256	513	1485
257	515	1483
258	517	1480
259	519	1477
260	520	1474
261	523	1475
262	525	1471
263	526	1468
264	528	1466
265	530	1463
266	531	1460
267	533	1458
268	536	1456
269	537	1453
270	539	1450
271	540	1447
272	543	1446
273	544	1443
274	546	1440
275	548	1438
276	550	1435
277	551	1432
278	553	1429
279	555	1427
280	557	1426
281	559	1423
282	560	1421
283	563	1419
284	565	1418
285	567	1415
286	569	1414
287	571	1412
288	574	1414
289	576	1411
290	578	1409
291	580	1406
292	581	1403
293	583	1400
294	584	1397
295	586	1395
296	588	1392
297	589	1388
298	591	1385
299	592	1382
300	593	1378
301	595	1375
302	596	1373
303	598	1369
304	599	1366
305	600	1363
306	602	1359
307	604	1357
308	605	1354
309	608	1354
310	610	1352
311	612	1350
312	614	1347
313	615	1345
314	617	1343
315	620	1343
316	622	1341
317	624	1339
318	626	1336
319	627	1333
320	628	1330
321	630	1326
322	631	1323
323	633	1320
324	634	1317
325	636	1315
326	637	1312
327	638	1308
328	640	1305
329	641	1302
330	643	1299
331	644	1296
332	645	1293
333	647	1290
334	648	1287
335	649	1284
336	651	1282
337	653	1279
338	654	1276
339	656	1273
340	657	1270
341	658	1267
342	660	1264
343	661	1261
344	663	1259
345	664	1256
346	665	1253
347	667	1249
348	668	1246
349	669	1243
350	670	1240
351	672	1237
352	673	1234
353	674	1231
354	676	1228
355	677	1225
356	679	1223
357	680	1220
358	681	1217
359	683	1215
360	684	1212
361	686	1209
362	687	1206
363	689	1204
364	690	1201
365	691	1198
366	693	1195
367	694	1192
368	696	1190
369	697	1187
370	698	1184
371	700	1181
372	701	1179
373	702	1176
374	703	1173
375	705	1170
376	706	1167
377	707	1164
378	709	1162
379	710	1159
380	711	1156
381	713	1153
382	714	1150
383	715	1147
384	716	1145
385	718	1142
386	719	1139
387	720	1137
388	722	1134
389	723	1132
390	725	1129
391	726	1126
392	727	1123
393	728	1120
394	729	1117
395	731	1115
396	732	1112
397	734	1110
398	736	1108
399	737	1106
400	739	1104
401	740	1101
402	742	1099
403	743	1097
404	744	1094
405	746	1092
406	748	1090
407	749	1087
408	750	1085
409	752	1082
410	753	1080
411	755	1077
412	756	1075
413	757	1072
414	758	1069
415	760	1067
416	761	1064
417	762	1061
418	763	1059
419	764	1056
420	766	1054
421	768	1052
422	769	1049
423	770	1046
424	771	1044
425	772	1041
426	774	1038
427	775	1036
428	777	1034
429	778	1031
430	779	1029
431	781	1027
432	782	1024
433	784	1022
434	785	1020
435	786	1017
436	788	1015
437	789	1013
438	791	1010
439	792	1008
440	793	1006
441	794	1003
442	796	1001
443	797	998
444	799	997
445	800	994
446	802	992
447	803	990
448	804	987
449	806	985
450	807	983
451	808	980
452	810	978
453	811	975
454	812	973
455	814	971
456	815	968
457	816	966
458	818	964
459	819	961
460	820	959
461	821	956
462	822	954
463	823	951
464	824	949
465	825	946
466	827	943
467	828	941
468	829	939
469	831	937
470	832	935
471	833	932
472	835	930
473	836	928
474	837	926
475	839	923
476	840	921
477	841	919
478	843	917
479	844	915
480	846	912
481	847	910
482	848	908
483	850	906
484	851	904
485	853	902
486	854	900
487	855	898
488	857	895
489	858	893
490	860	891
491	861	889
492	862	887
493	864	885
494	865	883
495	866	880
496	868	878
497	869	876
498	870	874
499	872	872
500	873	870
501	875	868
502	876	866
503	878	864
504	879	862
505	880	859
506	881	857
507	883	855
508	884	853
509	885	850
510	886	848
511	888	846
512	889	844
513	890	842
514	892	840
515	893	837
516	894	835
517	895	833
518	897	831
519	898	829
520	899	827
521	901	825
522	902	823
523	903	821
524	905	819
525	907	817
526	908	815
527	909	813
528	911	811
529	913	809
530	914	807
531	915	805
532	917	803
533	918	801
534	920	799
535	921	797
536	922	795
537	924	793
538	925	791
539	926	789
540	927	787
541	929	785
542	930	783
543	932	781
544	933	779
545	934	777
546	936	775
547	937	773
548	938	771
549	940	769
550	941	767
551	942	765
552	944	763
553	945	761
554	946	759
555	948	757
556	949	755
557	950	753
558	951	750
559	953	748
560	954	746
561	955	744
562	956	742
563	958	740
564	959	738
565	960	736
566	961	734
567	963	732
568	964	730
569	965	728
570	967	726
571	968	724
572	969	722
573	970	720
574	972	718
575	973	716
576	974	714
577	975	712
578	977	710
579	978	708
580	979	706
581	981	704
582	982	702
583	983	700
584	984	698
585	986	696
586	987	694
587	989	693
588	990	691
589	992	689
590	994	687
591	995	686
592	997	684
593	998	682
594	999	680
595	1000	678
596	1002	676
597	1004	674
598	1005	673
599	1007	671
600	1008	669
601	1009	667
602	1011	665
603	1012	664
604	1014	662
605	1015	660
606	1017	658
607	1018	656
608	1019	654
609	1021	652
610	1022	650
611	1023	649
612	1025	647
613	1027	645
614	1028	643
615	1029	641
616	1031	640
617	1032	638
618	1033	636
619	1034	634
620	1036	632
621	1037	630
622	1039	629
623	1041	627
624	1042	625
625	1044	624
626	1046	622
627	1047	620
628	1048	618
629	1050	616
630	1051	614
631	1052	613
632	1054	611
633	1055	609
634	1056	607
635	1058	605
636	1059	603
637	1060	601
638	1062	600
639	1063	598
640	1064	596
641	1066	594
642	1067	592
643	1069	591
644	1070	589
645	1072	587
646	1073	585
647	1075	584
648	1076	582
649	1077	580
650	1079	578
651	1080	576
652	1081	574
653	1083	573
654	1084	571
655	1085	569
656	1087	567
657	1088	565
658	1089	563
659	1091	562
660	1092	560
661	1093	558
662	1095	556
663	1096	555
664	1098	553
665	1099	551
666	1100	549
667	1102	547
668	1103	546
669	1105	544
670	1106	542
671	1107	540
672	1109	538
673	1110	537
674	1112	535
675	1113	533
676	1115	532
677	1116	530
678	1118	528
679	1119	526
680	1120	524
681	1122	523
682	1123	521
683	1124	519
684	1126	517
685	1127	516
686	1129	514
687	1130	512
688	1131	510
689	1133	509
690	1134	507
691	1136	505
692	1137	503
693	1139	502
694	1140	500
695	1141	498
696	1143	497
697	1144	495
698	1146	493
699	1148	492
700	1150	490
701	1151	488
702	1153	487
703	1154	485
704	1155	483
705	1157	482
706	1158	480
707	1160	478
708	1161	476
709	1163	475
710	1164	473
711	1166	471
712	1167	470
713	1169	468
714	1170	466
715	1172	465
716	1173	463
717	1175	461
718	1176	459
719	1178	458
720	1179	456
721	1180	454
722	1182	452
723	1183	451
724	1185	449
725	1187	448
726	1188	446
727	1190	444
728	1191	443
729	1193	441
730	1194	439
731	1195	437
732	1196	436
733	1198	434
734	1200	432
735	1202	431
736	1203	429
737	1205	427
738	1206	426
739	1207	424
740	1209	422
741	1210	420
742	1211	419
743	1213	417
744	1215	416
745	1217	414
746	1218	412
747	1220	411
748	1222	409
749	1223	407
750	1225	406
751	1226	404
752	1228	402
753	1229	401
754	1230	399
755	1232	397
756	1234	396
757	1235	394
758	1237	392
759	1238	391
760	1240	389
761	1241	387
762	1242	386
763	1244	384
764	1245	382
765	1247	380
766	1248	379
767	1249	377
768	1251	375
769	1252	374
770	1253	372
771	1255	370
772	1256	368
773	1257	367
774	1258	365
775	1260	363
776	1261	362
777	1263	360
778	1264	358
779	1266	357
780	1267	355
781	1268	353
782	1270	351
783	1271	350
784	1272	348
785	1273	346
786	1275	345
787	1276	343
788	1278	341
789	1279	340
790	1280	338
791	1282	336
792	1283	335
793	1284	333
794	1286	331
795	1287	329
796	1288	328
797	1289	326
798	1290	324
799	1292	323
800	1293	321
801	1295	319
802	1296	318
803	1297	316
804	1299	314
805	1300	313
806	1301	311
807	1302	309
808	1304	307
809	1305	306
810	1307	304
811	1308	303
812	1310	301
813	1311	299
814	1312	298
815	1314	296
816	1315	294
817	1317	293
818	1318	291
819	1319	289
820	1321	288
821	1322	286
822	1324	284
823	1326	283
824	1327	281
825	1329	280
826	1331	278
827	1332	276
828	1333	275
829	1334	273
830	1336	271
831	1338	270
832	1339	268
833	1341	266
834	1342	265
835	1343	263
836	1345	261
837	1346	260
838	1348	258
839	1349	257
840	1351	255
841	1352	253
842	1353	252
843	1355	250
844	1356	248
845	1358	247
846	1359	245
847	1360	243
848	1362	242
849	1363	240
850	1365	239
851	1367	237
852	1369	235
853	1370	234
854	1371	232
855	1373	231
856	1374	229
857	1375	227
858	1377	226
859	1378	224
860	1380	222
861	1381	221
862	1382	219
863	1384	217
864	1385	216
865	1387	214
866	1388	213
867	1389	211
868	1391	209
869	1392	208
870	1393	206
871	1395	204
872	1397	203
873	1398	201
874	1400	200
875	1401	198
876	1403	196
877	1404	195
878	1406	193
879	1407	191
880	1408	190
881	1409	188
882	1411	186
883	1412	185
884	1414	183
885	1415	182
886	1416	180
887	1418	178
888	1419	177
889	1420	175
890	1421	173
891	1423	172
892	1424	170
893	1425	169
894	1427	167
895	1428	165
896	1430	164
897	1432	162
898	1433	161
899	1434	159
900	1436	157
901	1437	156
902	1438	154
903	1440	152
904	1441	151
905	1443	149
906	1444	148
907	1445	146
908	1447	144
909	1448	143
910	1449	141
911	1451	140
912	1452	138
913	1454	136
914	1455	135
915	1456	133
916	1458	132
917	1459	130
918	1461	128
919	1462	127
920	1464	125
921	1465	123
922	1466	122
923	1468	120
924	1469	119
925	1471	117
926	1472	115
927	1474	114
928	1475	112
929	1477	111
930	1478	109
931	1479	107
932	1481	106
933	1482	104
934	1483	103
935	1485	101
936	1487	99
937	1488	98
938	1490	96
939	1491	95
940	1493	93
941	1494	92
942	1495	90
943	1497	88
944	1498	87
945	1500	85
946	1501	84
947	1503	82
948	1504	80
949	1506	79
950	1507	77
951	1509	76
952	1510	74
953	1511	72
954	1513	71
955	1514	69
956	1516	68
957	1517	66
958	1519	64
959	1520	63
960	1522	61
961	1523	60
962	1525	58
963	1526	56
964	1527	55
965	1529	53
966	1530	52
967	1531	50
968	1533	49
969	1534	47
970	1536	45
971	1538	44
972	1539	42
973	1540	41
974	1542	39
975	1543	37
976	1544	36
977	1546	34
978	1547	33
979	1548	31
980	1550	30
981	1552	28
982	1553	26
983	1555	25
984	1556	23
985	1557	22
986	1559	20
987	1560	18
988	1562	17
989	1563	15
990	1565	14
991	1567	12
992	1568	11
993	1569	9
994	1571	7
995	1572	6
996	1574	4
997	1575	3
998	1576	1
999	1578	0
